,PlayerID,PlayerName,Age,Rating in Scale 100,Potential in Scale 100,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,PopularityHits
8105,188336,A. Tuia,30,67,67,67,CB,€825K,€6K,€1.1M,214,206,302,327,227,203,53,1532,326,3 ★,2★,Low,High,1 ★,5
8106,232635,K. Ichimi,22,67,74,69,ST,€2.1M,€5K,€0,299,284,307,345,282,79,42,1638,362,3 ★,2★,Medium,Medium,1 ★,4
8107,214195,J. Arias,27,34,68,68,CB,€1M,€500,€1.8M,239,266,349,328,288,196,57,1723,373,3 ★,2★,Medium,Medium,1 ★,3
8108,224436,S. Väisänen,26,67,69,69,CB,€1.1M,€1K,€1.3M,259,251,272,278,258,204,52,1574,336,3 ★,2★,Medium,High,1 ★,5
8109,204468,T. Weilandt,28,67,34,67,LM,€1M,€7K,€1.2M,297,313,358,311,245,107,48,1679,370,3 ★,3★,Medium,Low,1 ★,2
8110,243123,Y. Sugita,27,67,67,67,RW,€1.1M,€2K,€1M,284,289,391,305,232,87,55,1643,352,4 ★,3★,High,Medium,1 ★,2
8111,237747,T. Arano,27,67,68,68,CAM,€1.2M,€3K,€1.1M,309,330,327,347,298,167,48,1826,391,3 ★,3★,Medium,Medium,1 ★,3
8112,234163,K. Staude,23,67,73,68,RM,€1.6M,€6K,€1.8M,276,300,368,297,269,129,46,1685,368,3 ★,3★,Medium,Medium,1 ★,2
8113,222643,J. Silva,25,67,71,69,CB,€1.3M,€7K,€1.6M,212,182,234,295,227,206,44,1400,296,2 ★,2★,Low,High,1 ★,8
8114,191154,T. Sana,30,67,67,68,CAM,€975K,€2K,€906K,303,324,377,328,267,86,54,1739,368,3 ★,3★,High,Low,1 ★,2
8115,201401,Campabadal,27,67,68,67,RB,€1.1M,€3K,€1.2M,239,279,344,347,241,200,58,1708,371,3 ★,2★,Medium,Medium,1 ★,1
8117,184242,F. Ojo,28,67,67,68,CM,€900K,€3K,€1.2M,304,304,356,357,321,179,62,1883,395,3 ★,3★,Medium,Medium,1 ★,7
8118,144050,A. Bunjaku,36,67,67,67,ST,€350K,€2K,€399K,310,302,333,331,292,92,59,1719,355,4 ★,3★,Medium,Medium,2 ★,5
8119,202162,J. Anibaba,31,67,67,67,CB,€700K,€3K,€834K,252,253,305,348,259,198,44,1659,350,3 ★,2★,Medium,Medium,1 ★,7
8120,235441,F. Pérez,34,67,67,67,CB,€325K,€500,€591K,229,244,295,335,248,194,52,1597,353,2 ★,2★,Medium,High,1 ★,3
8121,230321,Rafael de Aseiro,28,67,67,67,GK,€725K,€4K,€1M,95,86,228,217,130,46,323,1125,366,1 ★,1★,Medium,Medium,1 ★,2
8122,253364,J. Chalá,25,67,70,67,RW,€1.3M,€500,€2.1M,290,298,355,331,246,96,54,1670,364,3 ★,2★,Medium,Low,1 ★,3
8123,256948,C. Tzolis,18,67,85,68,ST,€2.6M,€500,€4.5M,319,309,366,314,297,95,53,1753,369,3 ★,2★,High,Medium,1 ★,228
8124,193716,D. Wilson,28,67,69,69,CB,€1M,€3K,€1.2M,241,260,260,292,263,197,47,1560,344,2 ★,2★,Medium,Medium,1 ★,2
8125,209333,C. Maxwell,29,67,67,67,GK,€700K,€3K,€963K,84,84,243,219,119,38,334,1121,376,3 ★,1★,Medium,Medium,1 ★,6
8126,222645,L. López,26,34,70,68,CM,€1.2M,€5K,€1.5M,274,298,330,309,311,189,65,1776,371,3 ★,3★,Medium,Medium,1 ★,6
8127,230325,Leandro Pestanha,24,34,67,67,CB,€1M,€4K,€1.4M,219,194,276,249,240,211,46,1435,313,2 ★,2★,Medium,Medium,1 ★,1
8128,232117,J. Dacosta,24,67,73,67,RWB,€1.5M,€11K,€1.9M,240,252,342,289,271,189,43,1626,363,3 ★,2★,High,Medium,1 ★,6
8129,109493,B. Castro,37,67,67,67,GK,€110K,€2K,€116K,77,100,206,215,111,39,325,1073,360,2 ★,1★,Medium,Medium,1 ★,1
8130,252085,Pablo Trigueros,27,67,70,69,CB,€1.2M,€3K,€1.3M,226,224,278,311,262,204,37,1542,333,3 ★,2★,Medium,Medium,1 ★,2
8131,214710,J. Espinoza,28,67,34,67,RB,€925K,€1K,€878K,283,272,370,318,267,196,50,1756,379,4 ★,3★,High,Medium,1 ★,1
8132,158902,D. Fox,34,67,34,67,CB,€325K,€2K,€481K,264,316,268,321,320,202,54,1745,344,3 ★,2★,Medium,Medium,1 ★,2
8133,199351,M. Wunderlich,34,67,34,67,CAM,€475K,€2K,€544K,309,351,346,329,304,87,57,1783,369,3 ★,3★,High,Medium,1 ★,2
8134,213687,L. Grimshaw,25,34,71,67,RB,€1.3M,€3K,€1.6M,244,260,328,307,266,195,59,1659,369,3 ★,2★,Medium,High,1 ★,7
8135,245687,C. Sierra,29,67,67,67,CM,€1M,€1K,€1M,349,326,320,372,308,171,57,1903,406,3 ★,3★,Medium,Medium,1 ★,3
8136,198560,Carlos Ruiz,36,67,67,67,CB,€180K,€2K,€240K,282,268,315,365,286,187,49,1752,369,3 ★,2★,Medium,High,1 ★,1
8137,234371,R. Descamps,24,67,72,67,GK,€1.2M,€3K,€1.2M,60,61,198,167,72,30,330,918,372,3 ★,1★,Medium,Medium,1 ★,9
8138,236427,S. Olsson,22,67,75,69,CM,€2.3M,€2K,€1.6M,255,309,313,287,283,167,47,1661,368,3 ★,3★,Medium,Medium,1 ★,7
8139,164529,D. Moor,36,67,67,67,CB,€180K,€2K,€218K,279,269,238,294,273,199,62,1614,330,4 ★,2★,Medium,Medium,1 ★,6
8140,251831,D. Garcia,23,67,74,68,CAM,€2M,€5K,€1.9M,289,318,372,232,290,153,41,1695,359,3 ★,3★,Medium,Medium,1 ★,8
8141,192695,N. Thompson,29,67,67,68,CB,€900K,€5K,€1.1M,243,241,363,334,265,202,56,1704,370,2 ★,2★,Medium,High,1 ★,3
8142,209073,R. Quijada,31,67,67,67,CB,€700K,€500,€1.2M,263,218,269,264,260,205,51,1530,336,2 ★,2★,Low,Medium,1 ★,3
8143,210361,B. Godeau,28,67,68,68,CB,€975K,€7K,€1.2M,250,233,251,264,251,206,51,1506,314,3 ★,2★,Low,Medium,1 ★,1
8144,215993,D. Miloc,29,67,67,69,CDM,€1M,€6K,€1.1M,257,282,328,347,302,200,57,1773,380,3 ★,3★,Medium,High,1 ★,2
8145,224185,C. Leemans,24,67,72,69,CM,€1.5M,€3K,€1.5M,326,357,283,372,320,170,65,1893,389,2 ★,3★,Medium,Medium,1 ★,7
8146,229817,R. Swete,30,34,68,67,GK,€775K,€3K,€915K,85,90,237,225,112,55,333,1137,379,3 ★,1★,Medium,Medium,1 ★,1
8147,231353,E. Iyoha,22,67,74,69,ST,€2.1M,€9K,€2M,285,284,347,350,222,47,57,1592,350,3 ★,3★,Medium,Low,1 ★,13
8148,166841,N. Adams,33,34,67,67,LWB,€525K,€4K,€613K,285,317,341,336,293,174,38,1784,378,3 ★,3★,High,Medium,1 ★,2
8149,232377,T. Sekine,25,34,69,68,RM,€1.3M,€5K,€1.2M,275,266,393,308,257,87,44,1630,352,4 ★,2★,High,Low,1 ★,7
8150,243129,S. Callegari,23,67,77,69,CB,€2.1M,€4K,€1.9M,237,217,251,281,253,207,44,1490,317,3 ★,2★,Medium,Medium,1 ★,3
8151,206522,Satrústegui,29,67,67,67,CB,€850K,€3K,€1M,264,259,313,308,261,204,47,1656,366,3 ★,2★,Medium,Medium,1 ★,1
8152,229818,D. Baumgartner,23,67,72,69,CB,€1.4M,€5K,€1.4M,229,204,316,287,250,199,43,1528,332,2 ★,2★,Medium,High,1 ★,1
8153,231354,M. Pantović,23,34,73,68,RM,€1.6M,€6K,€1.8M,308,304,335,308,245,114,63,1677,360,3 ★,3★,Medium,Medium,1 ★,9
8154,237754,T. Inukai,27,67,38,69,CB,€1.1M,€3K,€1.1M,169,167,307,286,223,208,49,1409,299,3 ★,2★,Low,Medium,1 ★,3
8155,227515,D. Moreno,24,67,74,68,CM,€1.9M,€3K,€2.2M,268,293,327,342,286,188,56,1760,382,3 ★,3★,High,Medium,1 ★,3
8156,246459,M. Daramy,18,67,85,68,RM,€2.6M,€2K,€3.1M,271,281,384,309,256,65,49,1615,359,3 ★,4★,Medium,Medium,1 ★,323
8157,252091,Kaxe,26,34,70,69,ST,€1.3M,€4K,€1.6M,319,304,328,333,283,156,45,1768,376,3 ★,3★,High,High,1 ★,1
8158,243384,C. Munder,20,67,78,68,RM,€2.2M,€4K,€2.1M,284,280,397,314,219,90,53,1637,362,3 ★,3★,Medium,Medium,1 ★,39
8159,190139,Adaílton,29,67,67,67,ST,€1M,€5K,€938K,312,318,360,376,268,69,64,1767,374,4 ★,3★,High,Medium,1 ★,7
8160,258747,Guillem Molina,20,67,77,69,CB,€2.1M,€7K,€2.5M,227,211,324,273,236,205,46,1522,325,3 ★,2★,Low,High,1 ★,19
8161,202428,B. Wood,27,67,68,68,ST,€1.2M,€6K,€1.5M,330,322,360,356,262,56,63,1749,364,3 ★,3★,Medium,Medium,1 ★,28
8162,211132,Andrés Prieto,26,67,71,67,GK,€1.1M,€5K,€1.4M,97,91,199,240,111,43,335,1116,375,2 ★,1★,Medium,Medium,1 ★,4
8163,222396,D. Ball,24,67,73,68,CDM,€1.5M,€3K,€1.9M,247,240,310,307,282,194,61,1641,354,2 ★,2★,Low,High,1 ★,6
8164,198589,G. Garza,28,67,67,67,LB,€925K,€3K,€943K,295,318,337,321,327,193,47,1838,384,2 ★,3★,High,High,1 ★,1
8165,209597,Antônio Carlos,27,67,70,69,CB,€1.2M,€3K,€1.3M,205,176,274,271,249,202,57,1434,310,2 ★,2★,Medium,Medium,1 ★,5
8166,222397,M. Risso,32,67,67,67,CB,€650K,€500,€1.1M,225,190,208,289,242,198,49,1401,295,3 ★,2★,Low,Medium,1 ★,4
8167,176061,J. Bornstein,35,67,67,67,LB,€325K,€2K,€330K,290,313,324,325,292,204,54,1802,374,3 ★,3★,Low,Medium,1 ★,5
8168,189885,C. Noone,32,34,67,67,RM,€800K,€5K,€750K,285,331,377,300,282,132,55,1762,371,3 ★,3★,High,Low,1 ★,6
8169,203966,D. Kempe,34,67,67,67,LB,€375K,€3K,€399K,240,285,313,351,296,196,49,1730,367,3 ★,2★,Medium,Medium,1 ★,2
8170,192671,M. Rondón,34,67,67,67,ST,€500K,€6K,€560K,329,321,338,367,291,63,52,1761,365,3 ★,3★,High,Medium,2 ★,5
8172,188856,C. Klem,29,34,67,67,LB,€900K,€3K,€906K,248,301,390,282,290,189,66,1766,364,2 ★,2★,High,High,1 ★,1
8173,210409,L. MacLeod,26,67,70,69,CM,€1.3M,€5K,€1.7M,298,323,305,317,308,186,52,1789,377,4 ★,3★,Medium,High,1 ★,3
8174,236191,Enzio Julião,24,67,67,67,ST,€1.2M,€5K,€1.6M,294,281,336,332,291,98,49,1681,362,3 ★,3★,Medium,Medium,1 ★,1
8175,243945,Gonzalo Verdú,31,67,67,67,CB,€700K,€6K,€1.3M,248,258,304,336,283,198,38,1665,359,3 ★,2★,High,Medium,1 ★,3
8176,248004,A. Chindriș,21,67,58,69,CB,€2.4M,€3K,€2M,233,194,346,300,247,200,49,1569,344,2 ★,2★,Medium,High,1 ★,19
8177,224965,C. Doidge,27,67,67,67,ST,€1.1M,€4K,€1.4M,294,265,327,367,275,70,49,1647,348,3 ★,2★,High,Medium,1 ★,3
8178,221893,P. Golubović,25,67,70,68,RWB,€1.2M,€5K,€1.3M,228,279,338,255,258,196,46,1600,349,2 ★,2★,Medium,Medium,1 ★,1
8179,203461,H. Kryeziu,27,67,70,69,CDM,€1.2M,€5K,€1.3M,305,286,355,357,307,188,57,1855,389,3 ★,2★,High,High,1 ★,5
8180,202693,M. Crooks,26,67,70,70,CDM,€1.3M,€14K,€1.8M,284,305,320,357,330,192,44,1832,402,2 ★,2★,Medium,Medium,1 ★,5
8181,193220,Bruno Soares,31,67,67,67,CB,€700K,€4K,€834K,197,193,235,289,231,196,51,1392,311,4 ★,2★,Low,Medium,1 ★,2
8182,254660,J. Thielmann,18,67,84,68,RM,€2.6M,€3K,€3.9M,310,307,356,321,277,64,60,1695,352,3 ★,2★,Medium,Medium,1 ★,111
8183,244932,K. Castañeda,20,67,82,70,CAM,€2.5M,€6K,€4M,309,342,349,301,283,93,46,1723,365,3 ★,2★,High,Medium,1 ★,46
8184,235714,M. Domínguez,20,34,75,70,LM,€2.2M,€14K,€2.1M,293,312,387,286,271,126,56,1731,357,3 ★,4★,High,Medium,1 ★,10
8185,237764,R. Takeuchi,29,67,67,67,CDM,€875K,€2K,€813K,282,291,332,355,305,195,64,1824,383,3 ★,3★,Medium,Medium,1 ★,1
8186,237252,J. Nerwinski,25,67,70,67,RB,€1.2M,€3K,€1.3M,218,252,347,294,260,194,56,1621,363,2 ★,2★,High,High,1 ★,7
8187,230084,L. Nmecha,21,67,78,69,ST,€2.3M,€26K,€0,279,243,355,340,282,70,45,1614,362,4 ★,3★,Medium,Medium,1 ★,122
8188,190659,H. Bazile,30,67,67,67,RM,€975K,€3K,€1.3M,319,331,363,331,256,88,47,1735,366,3 ★,3★,High,Low,1 ★,4
8189,235971,Pablo Larrea,26,67,71,69,CM,€1.3M,€3K,€1.4M,256,309,332,332,295,194,50,1768,377,3 ★,3★,Medium,Medium,1 ★,1
8190,214211,R. Vanegas,27,34,67,67,LM,€1.1M,€1K,€1.1M,285,286,383,346,272,86,49,1707,372,2 ★,3★,High,Medium,1 ★,2
8191,224718,T. Antalyalı,25,67,71,69,CM,€1.3M,€16K,€1.8M,292,320,305,340,303,190,50,1800,384,3 ★,2★,Medium,High,1 ★,13
8192,180174,B. Kopplin,31,67,67,67,RB,€750K,€5K,€688K,275,303,351,324,261,192,52,1758,383,4 ★,3★,High,Medium,1 ★,2
8193,237789,Y. Kimoto,26,67,70,69,CB,€1.2M,€3K,€1.2M,248,236,292,303,278,200,50,1607,346,3 ★,2★,Medium,Medium,1 ★,1
8194,209371,B. van Polen,34,67,67,68,CDM,€325K,€4K,€399K,270,288,329,320,319,202,57,1785,378,3 ★,2★,Medium,High,1 ★,1
8195,189143,S. Eriksson,31,67,67,67,CDM,€725K,€2K,€719K,278,321,313,290,341,186,25,1754,372,3 ★,2★,Medium,High,1 ★,1
8196,198104,D. Stahl,31,67,34,67,CDM,€725K,€3K,€834K,284,287,304,377,309,197,44,1802,384,4 ★,2★,Medium,Medium,1 ★,2
8197,199384,F. Koch,31,67,67,67,RB,€750K,€4K,€798K,277,263,351,300,266,190,55,1702,369,2 ★,2★,High,Medium,1 ★,3
8198,211928,D. Gape,25,67,71,68,CDM,€1.3M,€5K,€1.7M,284,295,355,335,313,192,61,1835,387,3 ★,2★,Medium,High,1 ★,4
8199,212440,Jung Seok Hwa,29,67,67,67,LW,€1M,€4K,€938K,291,341,374,320,273,151,59,1809,384,4 ★,3★,High,Medium,1 ★,2
8201,230872,M. Svilar,20,67,78,67,GK,€1.9M,€2K,€2.4M,107,118,302,229,135,51,329,1271,386,3 ★,1★,Medium,Medium,1 ★,73
8202,238040,M. Knoester,21,67,77,69,CB,€2.1M,€2K,€1.8M,206,220,279,291,226,202,49,1473,325,2 ★,2★,Medium,Medium,1 ★,11
8203,202457,L. Koopmans,26,67,69,67,GK,€950K,€3K,€1M,87,113,223,207,127,34,331,1122,367,3 ★,1★,Medium,Medium,1 ★,3
8205,221657,T. Akindele,28,67,67,67,ST,€1M,€4K,€1.2M,289,242,359,335,270,71,54,1620,359,2 ★,3★,Medium,Low,1 ★,2
8206,239577,Y. Coulibaly,25,67,70,68,LWB,€1.2M,€3K,€1.6M,235,243,394,301,252,188,51,1664,372,3 ★,3★,Medium,Medium,1 ★,4
8207,226266,J. Vargas,22,67,75,68,CAM,€2.3M,€1K,€1.7M,297,337,385,324,268,93,42,1746,371,3 ★,3★,Medium,Low,1 ★,15
8208,186562,J. Magennis,29,67,67,67,ST,€1M,€4K,€1.3M,299,257,331,381,310,155,59,1792,395,3 ★,2★,High,Medium,1 ★,13
8209,224962,M. Al Kuwaykibi,25,67,70,68,LM,€1.3M,€9K,€1.6M,288,318,421,319,236,75,49,1706,361,3 ★,4★,High,Medium,1 ★,1
8210,227547,D. Saint-Louis,25,67,69,67,LW,€1.3M,€3K,€1.7M,304,322,373,313,252,92,60,1716,366,3 ★,4★,Medium,Low,1 ★,5
8211,222156,J. Bree,22,67,76,67,RB,€2.2M,€4K,€2.3M,264,262,330,284,256,194,55,1645,359,3 ★,2★,Medium,Medium,1 ★,13
8212,237005,K. Baccus,22,67,73,68,CDM,€1.5M,€3K,€1.4M,246,261,359,327,293,190,40,1716,376,3 ★,2★,Medium,High,1 ★,7
8213,210381,C. Lykogiannis,26,34,69,67,LB,€1.2M,€10K,€1.4M,303,337,284,349,301,192,52,1818,390,3 ★,2★,High,Medium,1 ★,5
8214,205005,L. Droppa,31,67,34,67,CDM,€725K,€4K,€776K,298,265,335,338,294,198,47,1775,378,3 ★,2★,Medium,High,1 ★,2
8215,183244,A. Redmayne,31,67,67,67,GK,€550K,€3K,€625K,77,78,214,200,108,39,330,1046,375,2 ★,1★,Medium,Medium,1 ★,3
8216,244940,E. Karic,23,67,72,68,LWB,€1.4M,€4K,€1.4M,258,263,338,298,265,184,51,1657,373,3 ★,2★,High,Medium,1 ★,1
8217,230860,D. Poha,23,67,75,71,CDM,€2.3M,€3K,€2.5M,297,336,364,356,310,198,51,1912,409,3 ★,3★,Medium,Medium,1 ★,6
8218,241867,Aitor Ruibal,24,67,74,69,ST,€2.1M,€7K,€2.5M,309,279,327,308,239,73,53,1588,346,3 ★,3★,Medium,Medium,1 ★,7
8219,212418,M. Lackner,29,67,67,67,CDM,€875K,€4K,€943K,258,249,261,299,306,204,63,1640,339,3 ★,2★,Medium,High,1 ★,1
8220,223691,M. Corujo,34,67,67,68,RM,€375K,€500,€591K,304,344,379,358,330,184,61,1960,409,3 ★,3★,High,Medium,1 ★,1
8221,221643,Kim Do Hyeok,28,67,67,67,CM,€1M,€2K,€938K,292,311,338,360,326,164,67,1858,384,3 ★,2★,High,High,1 ★,1
8222,215243,F. Elizari,29,67,67,67,CAM,€1M,€5K,€1.1M,292,318,349,292,274,127,51,1703,361,3 ★,3★,Medium,Low,1 ★,1
8223,256970,A. Karabec,16,67,83,69,CAM,€2.5M,€500,€4.2M,292,324,360,304,267,116,56,1719,357,3 ★,3★,Medium,Medium,1 ★,173
8224,173518,T. Clarke,32,67,67,67,CB,€650K,€7K,€875K,205,157,290,311,227,203,51,1444,302,3 ★,2★,Medium,High,1 ★,3
8225,246730,A. Gabrielli,27,67,34,67,RB,€975K,€5K,€1M,260,255,319,282,273,194,51,1634,354,2 ★,2★,Medium,Medium,1 ★,2
8226,240589,Miguel,20,67,80,69,ST,€2.5M,€6K,€0,293,260,351,336,253,84,52,1629,352,3 ★,3★,High,Medium,1 ★,10
8227,222926,A. Mbengue,26,67,70,67,LB,€1.2M,€3K,€1.5M,268,310,373,292,270,187,53,1753,375,3 ★,3★,High,Medium,1 ★,1
8228,187334,L. Hallenius,31,34,67,67,ST,€850K,€3K,€844K,299,259,330,349,284,106,46,1673,365,3 ★,2★,Medium,Medium,1 ★,1
8229,239814,D. Batubinsika,24,67,73,69,CB,€1.5M,€6K,€1.6M,208,218,300,283,244,198,60,1511,339,3 ★,2★,Medium,Medium,1 ★,3
8230,237766,S. Kaneko,25,67,69,68,RM,€1.3M,€2K,€1.2M,287,334,401,319,258,129,44,1772,364,3 ★,3★,High,Medium,1 ★,4
8231,218054,K. Vida,25,67,69,68,LM,€1.3M,€3K,€1.3M,318,244,355,334,265,65,50,1631,358,4 ★,3★,High,Medium,1 ★,4
8232,253886,J. Acosta,26,34,69,67,RB,€1.2M,€500,€1.8M,247,271,362,275,283,197,60,1695,366,2 ★,2★,Medium,Low,1 ★,1
8233,198335,B. Oviedo,30,67,67,67,LB,€875K,€7K,€780K,294,318,359,331,316,194,57,1869,390,3 ★,3★,High,Medium,2 ★,27
8234,202175,M. Vilhjálmsson,33,34,67,67,ST,€650K,€2K,€594K,320,291,320,361,314,173,65,1844,389,3 ★,3★,High,High,1 ★,2
8235,229055,S. Aytaç,28,67,34,67,LB,€925K,€8K,€1.3M,283,322,330,313,305,188,57,1798,385,3 ★,3★,Medium,Medium,1 ★,1
8236,182207,D. Stockdale,34,67,67,67,GK,€170K,€4K,€601K,96,107,187,205,144,58,338,1135,369,3 ★,1★,Medium,Medium,1 ★,2
8237,221376,A. Puljić,32,67,67,67,CB,€650K,€2K,€675K,242,189,261,325,255,202,54,1528,320,3 ★,2★,Medium,Medium,1 ★,3
8238,223680,M. Schuster,24,67,73,68,CDM,€1.5M,€1K,€1.6M,264,282,346,337,289,194,51,1763,379,3 ★,2★,Medium,High,1 ★,2
8239,182464,Zhao Mingjian,32,67,67,67,RB,€700K,€6K,€736K,290,295,348,331,290,186,53,1793,383,3 ★,3★,High,Medium,1 ★,2
8240,193728,D. Wotherspoon,30,67,67,67,LM,€975K,€3K,€1.3M,286,343,334,340,282,176,53,1814,388,4 ★,3★,High,Medium,1 ★,2
8241,231105,A. Olliero,24,67,72,67,GK,€1.2M,€5K,€0,94,97,231,223,99,45,331,1120,377,2 ★,1★,Medium,Medium,1 ★,6
8242,182209,M. Beevers,30,67,67,67,CB,€825K,€5K,€1.1M,237,204,229,308,248,198,62,1486,319,2 ★,2★,Medium,High,1 ★,3
8243,250842,J. Graterol,23,67,73,67,GK,€1.3M,€600,€1.3M,58,82,178,209,118,37,336,1018,358,3 ★,1★,Medium,Medium,1 ★,7
8244,173531,B. Amos,30,67,67,67,GK,€675K,€3K,€919K,67,82,263,212,139,40,336,1139,383,2 ★,1★,Medium,Medium,1 ★,11
8245,228810,J. Amoah,25,67,71,71,CAM,€1.4M,€4K,€2.1M,259,310,347,290,313,175,53,1747,385,3 ★,3★,Medium,Medium,1 ★,1
8246,205015,J. Grimmer,26,67,69,67,RB,€1.2M,€5K,€1.5M,275,269,359,325,268,190,53,1739,378,3 ★,2★,High,High,1 ★,4
8247,218178,E. Aranda,35,67,67,67,CM,€400K,€500,€699K,280,302,386,295,288,161,58,1770,375,3 ★,3★,Medium,Medium,1 ★,1
8248,188289,E. Rivière,30,67,67,67,ST,€1M,€5K,€1.3M,325,282,356,332,279,83,61,1718,354,3 ★,2★,Medium,Medium,1 ★,15
8249,190090,S. Gentsoglou,29,67,67,67,CDM,€875K,€7K,€1.1M,281,300,318,342,314,197,43,1795,374,3 ★,2★,Medium,Medium,1 ★,3
8250,172418,I. Parlak,33,67,67,68,ST,€625K,€5K,€950K,347,286,343,339,284,60,60,1719,358,3 ★,2★,High,Low,1 ★,1
8251,216791,M. Pennington,25,67,69,69,CB,€1.1M,€19K,€1.6M,257,225,296,281,243,205,54,1561,338,3 ★,2★,Medium,Medium,1 ★,20
8252,212439,Lim Chai Min,29,67,68,68,CB,€950K,€3K,€961K,195,175,311,264,240,196,43,1424,324,3 ★,2★,Low,Medium,1 ★,1
8253,254422,K. Peralta,23,67,73,67,RB,€1.5M,€500,€2.2M,257,269,383,326,260,196,67,1758,371,2 ★,2★,Medium,Low,1 ★,4
8254,208597,H. Hermannsson,25,67,71,69,CB,€1.3M,€6K,€1.2M,207,218,276,284,244,193,65,1487,319,3 ★,2★,Medium,Medium,1 ★,3
8255,240342,H. Duljević,26,67,36,70,CAM,€1.2M,€9K,€1.9M,308,340,369,340,292,118,54,1821,396,3 ★,3★,High,Medium,1 ★,5
8256,236758,O. Christensen,21,34,76,67,GK,€2M,€2K,€1.3M,54,87,200,226,113,38,333,1051,371,2 ★,1★,Medium,Medium,1 ★,9
8257,210646,A. Rømer,26,34,68,67,CDM,€1.1M,€5K,€1.1M,283,290,322,335,293,196,46,1765,379,3 ★,2★,Medium,High,1 ★,3
8258,210134,M. Al Fatil,28,67,68,68,CB,€975K,€12K,€1.3M,195,181,283,287,213,204,56,1419,307,2 ★,2★,Medium,Medium,1 ★,3
8259,245461,F. Colidio,20,67,78,70,CAM,€2.3M,€21K,€0,333,303,341,292,252,58,52,1631,338,3 ★,3★,High,Low,1 ★,10
8260,244949,F. Pierrot,25,67,71,69,ST,€1.4M,€4K,€1.9M,307,215,266,366,260,71,59,1544,346,3 ★,2★,Medium,Medium,1 ★,5
8261,209711,R. Thelander,28,67,67,67,CB,€875K,€5K,€844K,215,175,232,287,227,198,59,1393,298,3 ★,2★,Low,High,1 ★,2
8262,252718,K. Suzuki,30,67,67,67,ST,€1M,€4K,€943K,309,276,328,332,262,51,52,1610,340,3 ★,3★,Medium,Medium,1 ★,3
8263,231726,A. Ivan,23,67,73,70,CAM,€1.6M,€4K,€1.7M,304,321,369,369,303,86,50,1802,382,3 ★,3★,High,Low,1 ★,12
8264,224302,M. Wieteska,23,67,75,69,CB,€2.1M,€4K,€1.6M,233,183,296,281,258,196,65,1512,318,2 ★,2★,Medium,Medium,1 ★,12
8265,204334,I. Gelios,28,67,38,67,GK,€875K,€6K,€1.1M,75,69,227,223,89,39,333,1055,378,3 ★,1★,Medium,Medium,1 ★,2
8266,199470,M. Meilinger,28,67,34,67,RM,€1M,€5K,€1.1M,300,334,339,324,265,97,42,1701,364,3 ★,4★,High,Medium,1 ★,1
8267,198702,K. Barmen,26,67,68,68,CM,€1.2M,€2K,€1.2M,321,324,315,379,326,186,47,1898,398,3 ★,3★,High,Medium,1 ★,4
8268,197166,J. Agudelo,27,67,36,68,ST,€1.2M,€3K,€1.4M,315,309,342,345,305,125,51,1792,387,5 ★,4★,High,High,1 ★,22
8269,234029,Jonaldo Santoso,28,67,67,67,ST,€1M,€6K,€1.5M,315,275,268,337,271,93,48,1607,339,3 ★,3★,Medium,Medium,1 ★,3
8270,212013,K. Baccus,28,67,67,67,CDM,€900K,€500,€1.5M,265,295,347,304,305,192,58,1766,373,4 ★,2★,Medium,Medium,1 ★,2
8271,251436,Tiago Dantas,19,67,66,72,RM,€2.6M,€3K,€0,293,352,374,257,291,119,44,1730,353,3 ★,3★,High,Medium,1 ★,74
8272,246316,Y. Soma,23,67,71,68,RM,€1.5M,€2K,€1.3M,290,323,395,316,299,175,37,1835,391,3 ★,3★,High,Low,1 ★,5
8273,244268,I. Fiolić,24,67,72,69,CAM,€1.5M,€5K,€0,276,287,352,261,248,123,51,1598,350,3 ★,3★,Medium,Medium,1 ★,5
8274,210476,M. Kuster,26,67,40,67,GK,€1M,€4K,€1.1M,75,98,199,190,110,59,330,1061,360,3 ★,1★,Medium,Medium,1 ★,2
8275,209196,P. Ziereis,27,67,70,69,CB,€1.2M,€6K,€1.3M,225,229,327,261,240,201,48,1531,339,3 ★,2★,Medium,High,1 ★,6
8276,250857,D. Hočko,26,34,70,69,CM,€1.3M,€4K,€1.4M,285,311,336,321,291,190,52,1786,373,3 ★,2★,Medium,Medium,1 ★,2
8277,214319,F. Rodríguez,33,34,67,68,CB,€500K,€900,€506K,239,244,261,285,264,201,54,1548,325,3 ★,2★,Low,High,1 ★,1
8278,242389,Rafael Barbosa,24,67,73,69,CAM,€1.6M,€3K,€2.3M,284,325,391,283,266,81,42,1672,347,3 ★,4★,High,Medium,1 ★,1
8279,251604,V. Tasar,23,67,73,68,LM,€1.6M,€5K,€1.7M,288,285,376,286,241,77,53,1606,349,3 ★,3★,High,Medium,1 ★,5
8280,243675,K. Scherpen,20,67,81,67,GK,€2.1M,€3K,€2.8M,64,79,222,204,83,35,332,1019,374,5 ★,1★,Medium,Medium,1 ★,72
8281,209885,M. Duke,29,34,67,67,LM,€1M,€9K,€1.2M,301,286,348,396,274,154,51,1810,399,3 ★,3★,High,High,1 ★,2
