,Age,Rating in Scale 100,Potential in Scale 100,PreferredFoot,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,Composure,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,Pace,Shooting,Passing,Dribbling.1,Defending,Physical
7053,27,68,68,Left,68,LB,1200000.0,2000.0,1000000.0,299,302,318,302,294,61,199,53,1767,378,2,2,Medium,Medium,1,65,52.0,66,64,66,65
7057,27,68,68,Right,68,CAM,1300000.0,4000.0,1300000.0,267,337,372,222,238,55,74,43,1553,325,4,3,Medium,Medium,1,69,55.0,71,71,23,36
7059,21,68,79,Right,70,ST,2700000.0,7000.0,0.0,305,267,372,344,256,65,69,47,1660,365,3,4,High,Medium,1,83,65.0,53,66,26,72
7060,26,68,70,Right,68,GK,1100000.0,2000.0,1400000.0,85,80,183,183,102,31,42,338,1013,367,2,1,Medium,Medium,1,68,67.0,66,70,29,67
7061,31,68,68,Right,68,CB,825000.0,6000.0,1300000.0,192,194,219,292,240,60,207,55,1399,291,2,2,Low,High,1,34,26.0,44,42,69,76
7062,32,68,68,Left,68,LWB,825000.0,2000.0,688000.0,259,295,359,331,297,67,187,46,1774,385,4,2,Medium,Medium,1,73,50.0,62,62,62,76
7063,31,68,68,Right,68,CM,1000000.0,6000.0,969000.0,310,304,303,309,311,56,177,60,1774,368,3,3,High,Medium,1,47,65.0,66,69,58,63
7064,27,68,68,Right,68,ST,1300000.0,4000.0,1400000.0,331,334,335,339,320,69,83,51,1793,371,3,3,High,Medium,1,68,68.0,66,66,34,69
7067,34,68,68,Right,68,CB,400000.0,4000.0,520000.0,291,262,229,312,250,67,201,46,1591,331,3,2,High,Medium,1,30,47.0,55,54,67,78
7068,34,68,68,Right,69,CM,575000.0,4000.0,675000.0,336,348,291,326,334,72,150,51,1836,372,4,3,Low,Medium,2,53,64.0,73,66,51,65
7069,28,68,68,Right,68,CB,1000000.0,4000.0,1200000.0,207,201,219,280,250,63,201,64,1422,299,3,2,Low,Medium,1,39,30.0,47,42,68,73
7070,25,68,71,Right,70,CAM,1600000.0,16000.0,2200000.0,295,324,364,281,265,64,139,59,1727,379,3,3,Medium,Medium,1,78,58.0,65,73,47,58
7072,22,68,80,Right,69,RM,3000000.0,10000.0,3500000.0,259,278,397,341,248,64,114,41,1678,377,3,4,High,Medium,1,88,58.0,59,72,38,62
7073,22,68,79,Right,70,ST,2700000.0,2000.0,2300000.0,321,242,317,316,265,54,56,52,1569,341,3,2,Medium,Medium,1,69,68.0,53,64,26,61
7074,31,68,68,Left,68,LB,875000.0,4000.0,813000.0,289,294,390,320,310,64,192,43,1838,387,3,3,Medium,Medium,1,75,51.0,62,69,62,68
7076,26,68,72,Right,68,GK,1300000.0,15000.0,1500000.0,88,96,229,234,90,37,44,336,1117,375,3,1,Medium,Medium,1,70,64.0,66,71,39,65
7077,25,68,69,Right,68,LW,1400000.0,5000.0,2400000.0,280,315,368,321,265,54,96,54,1699,368,2,3,High,Medium,1,77,65.0,61,71,33,61
7080,21,68,79,Right,68,LB,2600000.0,9000.0,2900000.0,278,288,367,292,288,59,185,58,1756,375,4,2,High,Medium,1,78,47.0,62,69,62,57
7081,25,68,71,Right,69,RM,1600000.0,3000.0,2000000.0,279,296,384,341,248,56,99,49,1696,371,4,3,High,Medium,1,85,61.0,59,71,32,63
7084,23,68,72,Left,69,CAM,1700000.0,3000.0,1700000.0,305,335,367,322,292,63,125,48,1794,371,3,3,High,Medium,1,72,65.0,66,69,40,59
7085,26,68,72,Left,68,GK,1300000.0,6000.0,1700000.0,94,87,212,212,100,58,42,327,1074,365,2,1,Medium,Medium,1,69,63.0,59,70,38,66
7086,24,68,72,Right,69,RWB,1600000.0,4000.0,1500000.0,284,345,368,270,287,63,198,49,1801,373,3,3,High,Medium,1,72,56.0,65,68,63,49
7087,25,68,71,Left,70,ST,1600000.0,4000.0,1700000.0,304,264,377,328,248,57,62,65,1648,375,4,3,High,Medium,1,90,65.0,55,72,25,68
7088,24,68,74,Right,69,RW,1900000.0,6000.0,2000000.0,298,279,431,310,252,67,85,46,1701,366,3,3,High,Low,1,91,63.0,57,73,32,50
7090,30,68,68,Right,68,CB,1000000.0,500.0,1600000.0,202,162,327,261,230,64,214,56,1452,318,2,2,Medium,Medium,1,69,32.0,33,44,70,70
7091,18,68,87,Right,68,GK,2700000.0,550.0,3200000.0,42,93,154,182,74,22,33,333,911,348,2,1,Medium,Medium,1,72,67.0,64,71,15,59
7092,31,68,68,Right,68,CF,1000000.0,6000.0,1000000.0,313,318,356,375,297,50,102,52,1813,379,3,3,High,Medium,1,71,69.0,65,67,39,68
7093,26,68,73,Right,68,GK,1400000.0,8000.0,1900000.0,94,87,232,229,112,47,39,331,1124,374,3,1,Medium,Medium,1,67,66.0,62,70,43,66
7094,26,68,69,Right,68,LM,1400000.0,6000.0,1500000.0,272,312,435,327,239,65,89,46,1720,358,4,3,High,Low,1,89,59.0,59,74,29,48
7095,30,68,68,Right,68,RB,0.0,0.0,0.0,256,255,341,286,301,56,201,44,1684,356,3,2,Medium,High,1,69,35.0,59,60,66,67
7097,24,68,73,Right,68,RB,1700000.0,4000.0,1600000.0,234,251,375,268,271,53,189,57,1645,362,3,2,High,Medium,1,81,42.0,55,62,61,61
7098,24,68,73,Left,68,LB,1700000.0,5000.0,2300000.0,234,322,359,309,279,55,200,54,1757,377,4,3,Medium,Medium,1,78,39.0,61,65,66,68
7099,28,68,68,Right,68,RM,1200000.0,3000.0,1600000.0,305,289,366,333,232,60,104,60,1689,369,5,3,Medium,Medium,1,82,60.0,61,69,35,62
7100,26,68,71,Right,70,CB,1400000.0,8000.0,1600000.0,209,202,295,301,247,64,204,54,1512,330,3,3,High,Medium,1,57,34.0,47,49,69,74
7101,23,68,75,Right,70,CAM,2400000.0,6000.0,2100000.0,281,351,407,305,279,67,153,38,1814,390,4,3,Medium,Medium,1,86,66.0,64,73,52,49
7103,26,68,69,Right,69,ST,1400000.0,3000.0,2000000.0,296,250,341,348,279,63,73,51,1638,356,3,3,High,High,1,72,68.0,51,67,29,69
7104,28,68,68,Right,68,ST,1200000.0,6000.0,1500000.0,322,275,347,346,260,66,71,44,1665,360,4,3,High,Medium,1,72,66.0,58,66,28,70
7105,21,68,76,Right,69,RWB,2600000.0,3000.0,1700000.0,257,261,343,274,229,51,199,57,1620,360,5,2,Medium,Medium,1,75,35.0,57,65,63,65
7107,26,68,69,Left,68,RM,1400000.0,10000.0,2300000.0,278,313,372,240,260,55,103,52,1618,348,3,3,High,Medium,1,81,59.0,63,69,33,43
7108,22,68,77,Right,70,CAM,2700000.0,5000.0,2800000.0,299,336,367,302,274,59,88,47,1713,357,4,3,Medium,Medium,1,73,56.0,66,72,32,58
7109,30,68,68,Right,68,LM,1200000.0,5000.0,1100000.0,305,332,348,325,310,61,153,53,1826,386,4,3,High,Medium,1,71,63.0,66,67,52,67
7110,25,68,73,Right,70,CM,1800000.0,3000.0,1600000.0,314,358,317,322,309,69,169,49,1838,379,3,3,Medium,Low,1,53,63.0,73,69,57,64
7111,24,68,74,Right,69,CDM,1800000.0,7000.0,2400000.0,280,295,351,321,309,62,194,49,1799,393,3,3,High,Medium,1,74,54.0,61,68,65,71
7112,36,68,68,Right,68,RB,275000.0,2000.0,200000.0,322,352,319,362,327,68,196,62,1940,392,3,2,High,Medium,1,56,64.0,70,65,65,72
7113,23,68,77,Right,70,CM,2700000.0,11000.0,2300000.0,295,342,298,334,326,66,184,52,1831,382,3,3,Medium,Medium,1,57,58.0,72,63,62,70
7114,29,68,68,Right,68,CDM,1000000.0,4000.0,969000.0,227,331,341,299,282,73,196,52,1728,352,3,3,Low,Medium,1,51,43.0,66,71,63,58
7116,29,68,69,Right,69,CB,1100000.0,8000.0,1500000.0,251,233,289,316,290,64,208,55,1642,356,3,2,Medium,High,1,63,45.0,48,55,68,77
7118,21,68,78,Right,70,CB,2500000.0,6000.0,3000000.0,220,195,284,261,245,51,216,47,1468,314,2,2,Low,High,1,58,32.0,43,46,70,65
7119,22,68,76,Right,69,CDM,2600000.0,3000.0,2000000.0,256,294,337,339,273,65,198,58,1755,393,3,2,Medium,Medium,1,74,54.0,58,66,63,78
7120,27,68,68,Left,68,LB,1200000.0,1000.0,1200000.0,294,343,336,349,305,59,186,60,1873,389,3,2,Medium,Medium,1,73,54.0,68,62,60,72
7121,24,68,73,Right,70,CB,1600000.0,3000.0,1500000.0,214,225,288,305,260,63,193,54,1539,337,2,2,Medium,High,1,66,30.0,48,51,65,77
7122,26,68,69,Right,68,LM,1400000.0,550.0,2400000.0,295,276,312,283,250,49,98,62,1576,342,4,2,Medium,Medium,1,67,64.0,65,66,33,47
7123,30,68,68,Left,68,CB,1000000.0,13000.0,1200000.0,201,167,303,296,239,65,207,56,1469,320,2,2,Medium,High,1,67,28.0,37,43,69,76
7124,32,68,68,Left,68,CM,950000.0,9000.0,1200000.0,319,346,279,357,303,60,196,64,1864,386,5,2,Medium,Medium,1,52,69.0,71,66,64,64
7125,31,68,68,Right,69,RW,1000000.0,1000.0,1000000.0,311,289,332,341,314,63,185,62,1834,408,3,3,Medium,Medium,1,74,64.0,67,70,61,72
7126,27,68,72,Right,68,GK,1300000.0,3000.0,1300000.0,75,93,204,210,103,52,46,335,1066,367,2,1,Medium,Medium,1,69,65.0,66,68,32,67
7128,28,68,68,Left,68,LB,1100000.0,1000.0,1100000.0,271,290,381,291,263,58,190,53,1739,374,3,3,High,Medium,1,79,47.0,59,69,61,59
7129,22,68,75,Right,69,CDM,2300000.0,5000.0,1800000.0,278,300,315,338,288,69,190,49,1758,378,3,2,Medium,High,1,60,54.0,64,66,65,69
7130,24,68,75,Right,68,GK,2100000.0,2000.0,1400000.0,100,132,215,222,129,30,44,332,1174,368,4,1,Medium,Medium,1,69,65.0,62,70,36,66
7131,32,68,68,Left,68,LB,825000.0,4000.0,0.0,302,346,344,351,327,71,193,54,1917,396,4,3,Medium,Medium,1,67,57.0,67,69,64,72
7132,28,68,68,Left,69,LM,1200000.0,7000.0,1300000.0,315,341,361,359,298,68,128,57,1859,396,3,4,Medium,Low,1,73,67.0,66,73,47,70
7133,24,68,73,Right,68,RB,1700000.0,5000.0,2100000.0,275,304,342,341,299,60,193,51,1805,389,3,2,High,High,1,73,52.0,61,64,64,75
7135,23,68,77,Right,68,GK,2300000.0,4000.0,2000000.0,63,67,169,184,86,42,39,336,944,360,2,1,Medium,Medium,1,67,67.0,63,72,24,67
7136,24,68,71,Right,70,CB,1500000.0,13000.0,1700000.0,256,258,340,287,267,58,207,38,1653,361,3,2,High,Medium,1,74,36.0,53,63,69,66
7137,23,68,77,Right,70,ST,2700000.0,5000.0,2500000.0,316,261,339,327,237,52,61,47,1588,345,3,3,Medium,Medium,1,69,67.0,54,67,26,62
7138,22,68,73,Right,72,ST,1900000.0,7000.0,1800000.0,326,313,301,361,230,52,99,55,1685,371,3,2,Medium,Medium,1,72,67.0,63,66,33,70
7139,25,68,72,Right,69,RWB,1600000.0,5000.0,1700000.0,247,270,351,261,286,63,194,50,1659,364,3,2,Medium,High,1,73,35.0,60,67,64,65
7140,37,68,68,Right,68,ST,400000.0,3000.0,471000.0,330,281,267,330,328,73,122,55,1713,342,4,2,High,High,1,40,71.0,57,61,46,67
7141,26,68,70,Right,68,GK,1100000.0,10000.0,1500000.0,122,118,243,232,122,52,39,342,1218,388,3,1,Medium,Medium,2,69,67.0,69,71,46,66
7142,28,68,69,Right,69,CB,1100000.0,2000.0,1200000.0,238,233,320,330,255,66,199,43,1618,357,3,2,High,Medium,1,68,43.0,51,55,67,73
7143,34,68,68,Left,69,CB,450000.0,5000.0,569000.0,319,315,299,327,329,66,206,62,1857,383,3,3,Medium,Medium,2,54,59.0,65,65,69,71
7144,19,68,82,Right,70,ST,2900000.0,4000.0,3800000.0,296,280,353,371,265,65,69,58,1692,367,3,3,Medium,Medium,1,76,68.0,53,69,28,73
7145,30,68,68,Right,69,CDM,1200000.0,8000.0,1300000.0,298,306,345,321,317,63,210,57,1854,390,4,3,Medium,High,1,70,55.0,67,64,69,65
7146,24,68,73,Right,69,RM,1800000.0,13000.0,2500000.0,303,295,359,327,254,61,110,44,1692,376,3,3,High,Medium,1,82,63.0,62,68,37,64
7147,18,68,81,Right,70,ST,2800000.0,4000.0,4400000.0,291,264,344,315,262,48,74,47,1597,353,3,3,Medium,Medium,1,71,72.0,53,71,34,52
7149,23,68,76,Right,70,CB,2500000.0,22000.0,2600000.0,207,193,281,303,245,55,201,47,1477,336,2,2,Medium,High,1,68,32.0,45,43,67,81
7150,19,68,82,Left,70,CM,2900000.0,4000.0,4000000.0,281,349,351,337,302,68,182,59,1861,389,3,3,Medium,Medium,1,69,53.0,71,70,60,66
7151,26,68,72,Right,70,CB,1500000.0,6000.0,1500000.0,238,236,301,336,250,52,201,50,1612,345,2,2,Medium,High,1,59,38.0,49,53,68,78
7152,22,68,77,Left,70,ST,2700000.0,5000.0,3200000.0,318,298,331,344,275,63,69,54,1689,362,4,3,High,Medium,1,74,69.0,57,65,27,70
7153,37,68,68,Right,68,CB,0.0,0.0,0.0,261,267,214,316,305,71,194,57,1614,325,2,2,Low,Medium,1,30,51.0,57,50,68,69
7154,24,68,72,Left,68,LB,1600000.0,5000.0,1600000.0,246,265,332,285,281,52,191,54,1654,366,2,3,Medium,Medium,1,75,34.0,57,64,64,72
7155,26,68,71,Left,70,CB,1400000.0,11000.0,2000000.0,237,232,206,296,249,58,206,50,1476,329,3,2,Medium,Medium,1,45,32.0,55,49,67,81
7156,23,68,74,Right,69,CAM,1900000.0,2000.0,1700000.0,301,333,375,339,276,67,84,61,1769,375,3,4,Medium,Low,1,78,66.0,63,71,32,65
7157,23,68,76,Right,70,ST,2700000.0,4000.0,2100000.0,297,277,335,334,206,57,66,53,1568,345,4,3,High,Medium,1,71,66.0,47,71,27,63
7158,23,68,75,Right,68,GK,2100000.0,8000.0,1800000.0,62,77,175,170,105,55,47,335,971,361,1,1,Medium,Medium,1,66,68.0,62,69,26,70
7159,33,68,68,Right,68,CB,575000.0,3000.0,744000.0,246,212,326,357,272,65,202,66,1681,360,3,2,Low,High,1,73,46.0,50,43,67,81
7160,27,68,69,Left,69,ST,1400000.0,5000.0,1700000.0,334,322,339,352,239,50,70,63,1719,351,3,2,Medium,Medium,1,64,74.0,59,65,29,60
7161,33,68,68,Right,68,CB,575000.0,6000.0,638000.0,211,182,215,284,278,67,210,49,1429,291,2,2,Medium,High,1,32,31.0,41,45,69,73
7162,25,68,74,Right,70,CB,1700000.0,3000.0,1900000.0,265,255,298,323,283,63,206,56,1686,366,4,2,Medium,Medium,1,58,45.0,62,59,68,74
7163,23,68,74,Right,69,RM,1800000.0,4000.0,1800000.0,269,308,393,322,300,64,182,50,1824,399,4,3,High,Low,1,87,55.0,62,68,59,68
7165,24,68,71,Right,69,RM,1600000.0,550.0,2400000.0,299,332,376,314,262,56,126,54,1763,372,3,4,High,Medium,1,81,61.0,63,70,37,60
7166,28,68,68,Left,68,CAM,1200000.0,10000.0,1600000.0,302,309,349,342,279,64,113,58,1752,380,4,3,Medium,Medium,1,71,64.0,64,70,42,69
7167,36,68,68,Right,68,RM,400000.0,1000.0,375000.0,299,343,348,317,292,72,95,57,1751,360,4,3,High,Medium,2,64,64.0,67,71,34,60
7168,21,68,79,Right,68,LW,2700000.0,6000.0,2400000.0,297,268,379,327,264,73,79,46,1660,368,3,3,High,Low,1,85,63.0,59,68,29,64
7169,29,68,69,Right,69,CB,1100000.0,3000.0,1100000.0,253,235,279,291,249,60,204,64,1575,330,2,2,Medium,Medium,1,50,38.0,52,47,68,75
7170,28,68,68,Right,68,RW,1200000.0,3000.0,1100000.0,287,291,387,320,260,58,100,62,1707,375,3,3,High,Low,1,85,61.0,60,70,34,65
7172,31,68,68,Right,68,CB,825000.0,6000.0,1000000.0,189,141,248,266,216,56,211,53,1324,283,3,2,Low,Medium,1,48,23.0,37,35,70,70
7173,28,68,69,Left,69,CB,1100000.0,2000.0,1200000.0,252,268,304,315,279,55,209,66,1693,360,2,2,Low,High,1,60,38.0,60,58,68,76
7176,26,68,71,Right,71,RM,1600000.0,3000.0,1600000.0,303,330,383,282,256,63,76,53,1683,353,4,3,Medium,Medium,1,78,63.0,65,73,30,44
7177,27,68,69,Right,68,RB,1300000.0,5000.0,1200000.0,233,257,356,256,264,48,209,52,1627,352,2,2,High,Medium,1,76,33.0,51,63,68,61
7178,22,68,81,Left,70,CB,2800000.0,5000.0,3600000.0,269,289,332,338,286,67,207,47,1768,378,2,3,Medium,Medium,1,67,47.0,62,66,69,67
7180,37,68,68,Right,68,ST,400000.0,5000.0,650000.0,320,272,243,345,306,68,108,58,1652,343,3,3,Medium,Medium,1,49,71.0,56,58,41,68
7181,25,68,71,Right,70,CAM,1600000.0,8000.0,1500000.0,288,310,363,314,316,67,181,59,1831,394,3,3,High,High,1,73,60.0,66,67,61,67
7182,23,68,74,Right,69,RM,1900000.0,6000.0,2000000.0,317,316,355,321,289,71,137,50,1785,384,4,3,Medium,Low,1,78,65.0,64,69,45,63
7183,29,68,68,Left,68,LB,1100000.0,7000.0,1500000.0,303,319,354,342,308,63,192,49,1867,396,3,3,High,High,1,72,61.0,62,67,65,69
7185,20,68,81,Right,70,CB,2700000.0,8000.0,3700000.0,222,216,277,303,232,60,203,51,1504,332,2,2,High,Medium,1,56,38.0,47,52,68,71
7186,27,68,68,Left,68,RM,1300000.0,550.0,2000000.0,257,289,365,255,221,60,65,50,1502,335,2,4,Medium,Low,1,79,51.0,60,69,23,53
7187,30,68,68,Left,68,ST,1200000.0,13000.0,1800000.0,301,238,270,340,284,66,70,45,1548,340,3,2,Medium,Low,1,64,71.0,48,54,32,71
7188,29,68,68,Right,69,CF,1200000.0,3000.0,1100000.0,303,276,376,348,251,70,88,56,1698,361,3,3,High,Medium,1,73,68.0,58,68,31,63
7191,32,68,68,Right,68,RB,825000.0,4000.0,963000.0,275,263,316,341,264,65,204,40,1703,361,2,2,Medium,Medium,1,62,45.0,57,57,66,74
7192,27,68,70,Right,70,CB,1300000.0,4000.0,1500000.0,221,180,235,260,252,60,195,53,1396,318,3,2,Medium,Medium,1,55,34.0,46,41,67,75
7193,23,68,74,Left,69,LM,1900000.0,7000.0,2200000.0,292,284,358,344,283,49,145,44,1750,392,3,3,High,Medium,1,82,63.0,61,66,50,70
7194,31,68,68,Right,68,CB,825000.0,2000.0,844000.0,260,260,325,319,282,74,200,58,1704,371,2,2,Low,High,1,68,46.0,56,60,67,74
7195,21,68,79,Left,70,CAM,2700000.0,3000.0,0.0,298,341,366,307,310,71,138,48,1808,378,2,3,High,Medium,1,71,60.0,70,70,49,58
7197,32,68,68,Right,68,CB,775000.0,3000.0,748000.0,224,253,329,307,283,61,199,57,1652,357,3,2,Medium,High,1,75,33.0,52,53,66,78
7198,26,68,71,Right,70,CB,1400000.0,6000.0,1600000.0,223,209,325,298,223,66,204,40,1522,331,2,2,Medium,Medium,1,69,29.0,46,47,67,73
7199,31,68,68,Right,68,ST,1000000.0,500.0,1800000.0,304,259,321,359,304,63,71,41,1659,357,2,2,High,High,1,66,66.0,54,58,32,81
7202,26,68,71,Left,68,GK,1200000.0,3000.0,1500000.0,91,93,205,220,127,48,39,348,1123,380,3,1,Medium,Medium,1,68,68.0,72,71,32,69
7203,33,68,68,Right,68,GK,400000.0,16000.0,903000.0,95,95,251,247,124,55,63,336,1211,392,2,1,Medium,Medium,1,71,63.0,62,71,56,69
7204,30,68,68,Right,68,RW,1200000.0,7000.0,0.0,295,319,420,325,255,68,62,51,1727,372,3,3,Medium,Medium,1,88,63.0,61,73,25,62
7205,25,68,73,Left,69,LWB,1600000.0,3000.0,1400000.0,277,314,381,320,307,57,197,48,1844,397,3,3,High,Medium,1,82,57.0,63,68,63,64
7207,26,68,72,Right,69,CM,1500000.0,6000.0,2100000.0,287,288,326,332,300,71,196,60,1789,381,3,2,Medium,Medium,1,60,54.0,65,65,66,71
7208,22,68,75,Right,70,CB,2300000.0,6000.0,1900000.0,235,246,287,307,255,65,203,55,1588,349,3,2,Medium,Medium,1,57,37.0,55,58,67,75
7209,31,68,68,Right,70,RW,1000000.0,5000.0,1600000.0,321,310,384,337,278,68,72,57,1759,372,3,3,High,Low,1,83,66.0,62,71,28,62
7210,25,68,75,Right,70,CDM,2200000.0,6000.0,1900000.0,279,282,343,359,291,67,201,53,1808,388,3,2,Medium,Medium,1,69,53.0,60,62,67,77
7211,31,68,68,Right,68,RM,1000000.0,4000.0,1000000.0,307,304,389,308,241,61,83,46,1678,358,3,3,Medium,Medium,1,80,66.0,63,70,28,51
7212,26,68,70,Right,69,CDM,1300000.0,3000.0,1800000.0,311,311,310,323,304,64,195,53,1807,376,3,2,Medium,High,1,57,53.0,68,66,65,67
7213,25,68,72,Right,70,CAM,1700000.0,16000.0,2400000.0,311,342,358,319,271,56,103,50,1754,369,3,3,High,Medium,1,70,67.0,66,71,36,59
7214,24,68,73,Right,68,GK,1500000.0,3000.0,1400000.0,106,116,283,251,100,27,49,337,1242,390,2,1,Medium,Medium,1,71,62.0,61,75,53,68
7215,30,68,68,Right,68,CB,1000000.0,5000.0,943000.0,335,328,260,377,302,60,196,40,1838,392,3,2,Medium,Medium,1,52,67.0,66,65,66,76
7216,19,68,81,Right,69,CDM,2700000.0,3000.0,3000000.0,261,296,343,305,274,68,193,54,1726,374,3,2,Medium,Medium,1,67,49.0,63,66,64,65
7217,29,68,68,Right,68,CAM,1200000.0,2000.0,1200000.0,305,356,329,346,264,63,151,63,1814,370,5,3,Medium,Low,1,55,71.0,69,68,44,63
7218,33,68,68,Left,68,LB,625000.0,500.0,860000.0,281,309,321,298,267,48,189,46,1711,364,2,2,High,Medium,1,70,51.0,60,64,64,55
7219,30,68,68,Right,68,LM,1200000.0,19000.0,0.0,314,325,349,339,299,70,136,74,1836,384,4,3,Medium,Medium,1,71,67.0,65,69,48,64
7220,32,68,68,Left,68,LB,825000.0,3000.0,688000.0,301,361,324,330,321,66,192,33,1862,395,2,3,High,Medium,1,67,55.0,71,68,63,71
7221,30,68,68,Right,68,CB,1000000.0,4000.0,1000000.0,216,215,264,289,259,65,199,53,1495,313,3,2,Low,Medium,1,48,27.0,51,47,68,72
7222,27,68,68,Right,68,CM,1300000.0,2000.0,1500000.0,286,342,348,333,315,67,161,65,1850,385,3,3,Medium,High,1,67,62.0,66,70,53,67
7223,34,68,68,Right,68,CAM,575000.0,3000.0,563000.0,275,331,359,307,324,66,188,48,1832,392,2,2,High,Medium,1,73,60.0,67,69,61,62
7224,34,68,68,Right,68,CB,400000.0,9000.0,0.0,275,281,284,303,314,57,209,61,1727,349,4,2,High,High,1,49,41.0,65,54,69,71
7225,29,68,68,Right,68,CB,1000000.0,9000.0,0.0,222,209,248,311,240,62,205,54,1489,318,3,2,Medium,Medium,1,40,37.0,45,51,68,77
7227,30,68,68,Right,68,LB,1000000.0,4000.0,1100000.0,243,229,287,306,267,66,202,65,1599,349,3,2,Medium,High,1,58,36.0,56,58,67,74
7228,27,68,70,Right,70,CB,0.0,0.0,0.0,237,217,297,299,273,65,207,53,1583,330,3,2,Medium,Medium,1,58,41.0,44,46,69,72
7229,24,68,73,Right,70,CAM,1800000.0,3000.0,2200000.0,315,330,375,375,310,61,73,59,1837,384,3,3,High,Medium,1,77,70.0,63,70,31,73
7231,23,68,73,Right,70,CB,1600000.0,8000.0,1800000.0,241,250,289,291,265,59,207,61,1604,352,4,2,Medium,Medium,1,66,39.0,54,55,67,71
7232,22,68,78,Left,69,LWB,2600000.0,500.0,3100000.0,267,283,375,327,289,59,187,56,1784,385,2,2,Medium,Medium,1,80,54.0,61,65,61,64
7233,22,68,79,Left,69,CDM,2600000.0,2000.0,2700000.0,244,260,303,332,285,57,191,44,1659,362,2,2,Medium,Medium,1,63,42.0,58,58,65,76
7234,26,68,71,Left,70,CB,1400000.0,9000.0,2200000.0,230,231,316,323,267,54,195,49,1611,359,3,2,Medium,Medium,1,69,42.0,47,56,65,80
7235,25,68,74,Right,69,CM,1700000.0,4000.0,1900000.0,322,332,300,330,309,64,193,50,1836,378,3,3,Medium,Medium,1,53,55.0,69,67,65,69
7236,26,68,71,Right,70,CAM,1600000.0,6000.0,1600000.0,314,344,338,321,292,69,138,50,1797,379,4,3,Medium,High,1,64,64.0,70,69,47,65
7237,25,68,73,Right,71,RM,1800000.0,5000.0,2000000.0,328,318,374,320,259,64,88,53,1740,365,4,3,Medium,Low,1,72,66.0,64,74,32,57
7239,29,68,68,Right,68,RB,1100000.0,6000.0,1100000.0,241,248,343,260,263,53,192,61,1608,359,3,3,Medium,Medium,1,75,33.0,54,67,63,67
7240,28,68,68,Left,69,CM,1200000.0,7000.0,1400000.0,304,359,287,336,326,73,131,52,1795,365,2,3,High,Medium,1,46,65.0,73,69,46,66
7241,29,68,68,Right,68,GK,825000.0,5000.0,875000.0,105,95,222,208,132,50,51,334,1147,373,3,1,Medium,Medium,1,69,60.0,68,72,39,65
7242,29,68,68,Left,68,CAM,1200000.0,5000.0,1500000.0,297,338,401,324,282,75,94,65,1801,360,2,4,High,Medium,1,74,66.0,67,71,30,52
7243,27,68,69,Left,68,LB,1300000.0,2000.0,1400000.0,254,267,323,288,278,60,195,52,1657,365,3,2,Medium,Medium,1,68,38.0,60,64,66,69
7244,33,68,68,Left,68,CDM,0.0,0.0,0.0,279,300,233,305,307,70,195,57,1676,344,2,2,Medium,Medium,1,31,55.0,63,57,67,71
7245,30,68,68,Right,68,CB,1000000.0,500.0,1600000.0,180,178,217,301,242,58,216,44,1378,297,2,2,Medium,Medium,1,47,31.0,33,39,71,76
7246,36,68,68,Right,68,RM,400000.0,3000.0,525000.0,290,326,362,341,279,69,120,50,1768,373,4,3,High,Medium,1,69,65.0,64,71,39,65
7248,22,68,76,Left,70,CB,2500000.0,7000.0,2300000.0,221,189,280,283,248,56,206,57,1484,325,3,2,Low,High,1,67,29.0,45,41,69,74
7249,30,68,68,Right,68,RB,1000000.0,4000.0,945000.0,261,276,323,356,278,68,194,50,1738,379,3,2,High,High,1,69,43.0,58,64,65,80
7250,24,68,68,Right,70,CB,1300000.0,7000.0,1600000.0,303,326,304,318,307,63,200,58,1816,381,3,2,Medium,Medium,1,63,54.0,60,64,68,72
7252,26,68,68,Right,68,LM,1300000.0,6000.0,1700000.0,312,299,349,343,286,60,87,55,1731,372,3,3,High,Medium,1,73,64.0,64,68,33,70
7253,21,68,77,Left,69,CAM,2700000.0,9000.0,3100000.0,286,335,392,279,243,66,95,47,1677,348,4,3,High,Medium,1,78,63.0,63,74,32,38
7254,23,68,77,Right,70,CAM,2700000.0,4000.0,2500000.0,283,327,344,351,301,68,139,58,1803,387,3,2,High,Medium,1,70,61.0,65,71,49,71
7255,32,68,68,Right,68,ST,975000.0,7000.0,1400000.0,330,267,347,365,354,66,192,47,1902,409,3,3,Medium,Medium,2,75,68.0,60,66,65,75
7256,21,68,79,Right,71,CAM,2700000.0,15000.0,3200000.0,290,295,369,314,278,72,161,34,1741,387,3,3,Medium,Medium,1,71,57.0,66,74,53,66
7257,37,68,68,Right,68,GK,130000.0,1000.0,113000.0,98,92,255,220,159,63,47,329,1200,385,3,1,Medium,Medium,2,62,71.0,60,68,56,68
7258,28,68,68,Left,68,LB,1100000.0,6000.0,1600000.0,307,332,358,324,324,66,190,47,1882,400,3,3,Medium,High,1,74,62.0,66,68,64,66
7259,29,68,68,Right,68,ST,1200000.0,7000.0,1400000.0,294,235,293,335,245,68,88,65,1555,351,4,2,High,Medium,1,67,64.0,48,65,35,72
